iter	Logloss
0	0.6770621501
1	0.6559108041
2	0.6429015795
3	0.6262890525
4	0.6102478995
5	0.5955605702
6	0.583092646
7	0.5708704203
8	0.5592508553
9	0.5492544026
10	0.5389570981
11	0.5306207161
12	0.5226742801
13	0.5141352891
14	0.5077276292
15	0.4989385054
16	0.4941443828
17	0.4864926376
18	0.4790897697
19	0.4746197363
20	0.4703939418
21	0.4639444931
22	0.4592004159
23	0.4547408794
24	0.4499168606
25	0.444863242
26	0.4414097347
27	0.438252503
28	0.4337947471
29	0.4309101725
30	0.4283579451
31	0.4240798675
32	0.4199601539
33	0.4172456668
34	0.4152997671
35	0.4120658986
36	0.4102828191
37	0.4076355403
38	0.4043177317
39	0.4019968352
40	0.4011368869
41	0.4001224572
42	0.3987805961
43	0.3972835191
44	0.3955624867
45	0.3942016982
46	0.3924789062
47	0.3901999883
48	0.3877975342
49	0.385853437
50	0.3847423958
51	0.3841132509
52	0.3830536963
53	0.3819587068
54	0.3809957404
55	0.3800687093
56	0.3789808764
57	0.37830738
58	0.3779694196
59	0.3768254778
60	0.3759990641
61	0.3750239527
62	0.3731434107
63	0.3719471332
64	0.3707800126
65	0.3699417173
66	0.369284914
67	0.3686625932
68	0.368021043
69	0.3674085438
70	0.3660326359
71	0.3651734887
72	0.3646611021
73	0.3641902857
74	0.3638556552
75	0.3630777774
76	0.3629124252
77	0.3625371803
78	0.362039577
79	0.3613585582
80	0.3612272403
81	0.3606524008
82	0.3600876305
83	0.3596269756
84	0.3590315799
85	0.3581517355
86	0.3573463054
87	0.3569998662
88	0.3565765877
89	0.3558609625
90	0.355662804
91	0.3553501979
92	0.3551959215
93	0.3546719908
94	0.3540565016
95	0.3534977614
96	0.3533656266
97	0.3529515483
98	0.3525381372
99	0.3521395908
100	0.3519044365
101	0.3512919683
102	0.3507313536
103	0.3504591858
104	0.3499836226
105	0.3497622055
106	0.3493458474
107	0.349294949
108	0.34902229
109	0.349018497
110	0.3486542107
111	0.3480373854
112	0.3479712655
113	0.3478048718
114	0.3470747493
115	0.3468135906
116	0.3457381253
117	0.3454215017
118	0.3453016407
119	0.3443887395
120	0.3439296879
121	0.3433942526
122	0.343195926
123	0.3427270195
124	0.342582998
125	0.3420912331
126	0.3416591828
127	0.3412710724
128	0.3412254729
129	0.340904035
130	0.3405305624
131	0.3403930869
132	0.3400454928
133	0.3397038469
134	0.3396059903
135	0.3392421545
136	0.338977695
137	0.338732202
138	0.3385591635
139	0.337905278
140	0.3377604937
141	0.3375594234
142	0.3374221462
143	0.3372548189
144	0.3371221622
145	0.3366656845
146	0.336493806
147	0.336321969
148	0.3361447519
149	0.3358119392
150	0.3356283689
151	0.3354848082
152	0.3351096293
153	0.3348612199
154	0.3345563247
155	0.3341975049
156	0.3341315087
157	0.3339612818
158	0.3334638391
159	0.3333566751
160	0.3330531354
161	0.3329772179
162	0.3325747501
163	0.3321441195
164	0.3317726758
165	0.3316575855
166	0.3314937431
167	0.3312293828
168	0.3311416719
169	0.3309113447
170	0.3307061164
171	0.3304505062
172	0.3302295786
173	0.3301443943
174	0.3295311821
175	0.3292372101
176	0.3289711657
177	0.3289280123
178	0.3288281829
179	0.3283467237
180	0.3282726301
181	0.3280787209
182	0.3278999035
183	0.3278023266
184	0.3276950225
185	0.3275506511
186	0.3274754718
187	0.3271903542
188	0.3270127254
189	0.3266421425
190	0.3264022509
191	0.3261965536
192	0.3259204465
193	0.3255721511
194	0.3250656278
195	0.3248725924
196	0.3245340643
197	0.3244617858
198	0.3244208116
199	0.3243385953
200	0.3239018137
201	0.3237613933
202	0.3236954236
203	0.3236570208
204	0.3234991857
205	0.3234447611
206	0.3233938987
207	0.3232236577
208	0.3230583119
209	0.3225097995
210	0.3221922474
211	0.3215231559
212	0.3211121459
213	0.3210597961
214	0.3209482668
215	0.320860582
216	0.3207934004
217	0.320525077
218	0.3199407176
219	0.3197871712
220	0.3194360047
221	0.3191999037
222	0.3191498732
223	0.3190488891
224	0.3188859973
225	0.3186460575
226	0.3185482178
227	0.3181637763
228	0.3181076136
229	0.3174823336
230	0.3169807974
231	0.3168248039
232	0.3165399529
233	0.3163885256
234	0.3162599768
235	0.3161490118
236	0.3160280818
237	0.3159879199
238	0.3158542044
239	0.3153029176
240	0.3151798166
241	0.3148451562
242	0.3145252009
243	0.3142729398
244	0.3142148787
245	0.3138809484
246	0.3138137153
247	0.3133731774
248	0.3129034935
249	0.3127395908
250	0.312034206
251	0.3117319591
252	0.31119025
253	0.3109867285
254	0.3108539819
255	0.3105187162
256	0.3104100832
257	0.3102624302
258	0.3102319471
259	0.3102034129
260	0.3100044336
261	0.3099388212
262	0.3097633054
263	0.309538188
264	0.3094274761
265	0.3093848895
266	0.3090974478
267	0.3089226639
268	0.3084181384
269	0.3083184025
270	0.3080397317
271	0.3073625562
272	0.3069467744
273	0.3067838533
274	0.3067272567
275	0.3063934836
276	0.306332061
277	0.3062172313
278	0.305735337
279	0.305688093
280	0.3055514431
281	0.30546659
282	0.3053513838
283	0.3052313761
284	0.3048415674
285	0.3046814158
286	0.30456527
287	0.3045144254
288	0.3043890629
289	0.3042633076
290	0.3042203268
291	0.3039087017
292	0.3037969537
293	0.3037606176
294	0.3037142251
295	0.3032404748
296	0.3031146915
297	0.3027989143
298	0.3026526932
299	0.3026247438
