iter	Logloss
0	0.6724132022
1	0.6545896722
2	0.6352903954
3	0.6226578836
4	0.6079279986
5	0.5943050154
6	0.5816900253
7	0.5680595848
8	0.5551977321
9	0.5437682763
10	0.5346271311
11	0.5263121806
12	0.5157180711
13	0.5092411112
14	0.4998864546
15	0.4931777613
16	0.4876874773
17	0.4809929
18	0.4744698789
19	0.4690875934
20	0.4644610409
21	0.4589104741
22	0.4536214898
23	0.4482942197
24	0.4446326703
25	0.4408908149
26	0.437385135
27	0.433975151
28	0.4312925837
29	0.428113159
30	0.4257475675
31	0.422984092
32	0.4206403234
33	0.4182246018
34	0.415976508
35	0.4128353645
36	0.4100538161
37	0.4082533778
38	0.4072118176
39	0.4058195552
40	0.4032934564
41	0.4019485471
42	0.4003619955
43	0.3981349086
44	0.3957682081
45	0.3948003013
46	0.3938631155
47	0.3920633599
48	0.3904166299
49	0.3894011678
50	0.3889299442
51	0.3870839538
52	0.3850810312
53	0.3826712637
54	0.3813911066
55	0.3789257834
56	0.3778221085
57	0.377098859
58	0.3759814872
59	0.3752715559
60	0.3739527564
61	0.3733992484
62	0.3723340082
63	0.3712942088
64	0.3710057705
65	0.3700816147
66	0.3693436277
67	0.3679382394
68	0.3673598633
69	0.3668795155
70	0.366467061
71	0.3658564306
72	0.3650717956
73	0.364284222
74	0.3635572108
75	0.3626309539
76	0.3618689359
77	0.3610089395
78	0.3601857135
79	0.3595634313
80	0.3591964402
81	0.3584333745
82	0.3576899793
83	0.356619964
84	0.3555625834
85	0.3551313413
86	0.3546154706
87	0.3541920378
88	0.3534593565
89	0.3526940553
90	0.3519366149
91	0.3512679207
92	0.3509259389
93	0.3504931806
94	0.3495840414
95	0.3492555785
96	0.3487924129
97	0.3483602429
98	0.3479795435
99	0.3476093664
100	0.3472158876
101	0.3469663992
102	0.3465720885
103	0.3464521569
104	0.3460928716
105	0.3454863988
106	0.3448600987
107	0.3444187534
108	0.3435972797
109	0.3429992837
110	0.3424353776
111	0.3418816642
112	0.341382945
113	0.3411491444
114	0.3405523103
115	0.3401303345
116	0.3399307046
117	0.3392663015
118	0.3389291833
119	0.3387415463
120	0.3382731622
121	0.3380333847
122	0.3377337248
123	0.3373245483
124	0.3369916216
125	0.3364531413
126	0.3358751344
127	0.3354790298
128	0.3351384398
129	0.3346580095
130	0.3340225914
131	0.3336675542
132	0.333059858
133	0.3326970976
134	0.3324026967
135	0.3320993146
136	0.3318180008
137	0.3314363971
138	0.3312170317
139	0.3309768665
140	0.3307079313
141	0.3301457384
142	0.3296545314
143	0.3292634426
144	0.3290203285
145	0.3289058608
146	0.3285600113
147	0.3282012207
148	0.3280928297
149	0.3277955457
150	0.3274036294
151	0.3271097573
152	0.3268917883
153	0.3262733493
154	0.3261084627
155	0.3257991361
156	0.3251620126
157	0.3249937836
158	0.3245582155
159	0.3243472413
160	0.3242443119
161	0.324153862
162	0.3236764858
163	0.3229429261
164	0.3226114541
165	0.3222169121
166	0.3221034856
167	0.3217553197
168	0.3216065612
169	0.3214440245
170	0.3211663356
171	0.3208215859
172	0.3206215408
173	0.3203537924
174	0.3201316595
175	0.3197527152
176	0.3194005081
177	0.3192765469
178	0.3190619697
179	0.3185791666
180	0.3182395147
181	0.3179331473
182	0.3176442945
183	0.3172382787
184	0.3171096367
185	0.3168679764
186	0.3167723962
187	0.3164063293
188	0.3160090757
189	0.3157233056
190	0.3153934959
191	0.3150781109
192	0.3149395564
193	0.3144031853
194	0.3141821028
195	0.313326121
196	0.3131579156
197	0.3130600316
198	0.3126010779
199	0.3119777604
200	0.3118429334
201	0.3117168166
202	0.3113461771
203	0.3109635126
204	0.3103210299
205	0.3101405445
206	0.3099975212
207	0.3097948993
208	0.3094058896
209	0.3090681605
210	0.308679896
211	0.3083906433
212	0.3083250824
213	0.3080635658
214	0.3079888667
215	0.307600162
216	0.3072139206
217	0.3070622818
218	0.3068966091
219	0.3068468355
220	0.3064816407
221	0.3064146718
222	0.3056481159
223	0.3055518616
224	0.3051599193
225	0.3048803964
226	0.3044849894
227	0.3043588891
228	0.3040784308
229	0.3037890867
230	0.3032697695
231	0.3032033139
232	0.3029708112
233	0.3028183899
234	0.3024746076
235	0.3023897334
236	0.3018704432
237	0.3017754904
238	0.3016756226
239	0.3011367861
240	0.3008706708
241	0.3007550858
242	0.3007203929
243	0.300646884
244	0.300443938
245	0.3002770116
246	0.3001751894
247	0.3001065897
248	0.2999684385
249	0.2999378255
